iter	Passed	Remaining
0	2	215
1	4	209
2	5	193
3	7	182
4	10	204
5	12	202
6	15	203
7	18	211
8	20	204
9	22	200
10	25	202
11	27	200
12	29	196
13	31	194
14	33	188
15	34	182
16	36	178
17	38	176
18	40	172
19	41	166
20	42	161
21	44	156
22	45	151
23	46	147
24	47	142
25	48	139
26	50	135
27	51	131
28	51	127
29	53	124
30	54	121
31	55	118
32	56	114
33	57	111
34	58	107
35	58	104
36	59	101
37	60	98
38	61	95
39	62	93
40	62	90
41	63	87
42	64	84
43	64	82
44	65	79
45	66	77
46	66	75
47	68	73
48	69	72
49	70	70
50	71	68
51	71	66
52	72	64
53	73	62
54	73	60
55	74	58
56	75	56
57	75	54
58	76	53
59	77	51
60	78	49
61	78	48
62	79	46
63	80	45
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	86	33
72	87	32
73	88	31
74	88	29
75	89	28
76	90	27
77	91	25
78	91	24
79	92	23
80	93	21
81	93	20
82	94	19
83	95	18
84	95	16
85	97	15
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	107	2
98	108	1
99	109	0
