iter	Passed	Remaining
0	192	192339
1	193	96590
2	194	64618
3	195	48590
4	196	39005
5	196	32580
6	197	28006
7	198	24565
8	198	21904
9	199	19773
10	200	18023
11	201	16564
12	201	15331
13	202	14283
14	203	13393
15	204	12595
16	205	11897
17	206	11269
18	207	10701
19	208	10194
20	208	9734
21	209	9315
22	210	8930
23	210	8579
24	211	8258
25	212	7958
26	213	7682
27	213	7427
28	214	7187
29	215	6969
30	216	6762
31	217	6569
32	218	6399
33	219	6233
34	220	6071
35	221	5919
36	222	5787
37	223	5650
38	223	5517
39	224	5391
40	225	5273
41	226	5158
42	226	5048
43	227	4943
44	228	4843
45	228	4749
46	229	4658
47	231	4592
48	232	4514
49	233	4432
50	234	4357
51	235	4292
52	236	4219
53	236	4149
54	237	4082
55	238	4024
56	239	3963
57	240	3902
58	241	3843
59	241	3788
60	242	3733
61	243	3681
62	244	3630
63	245	3586
64	246	3540
65	247	3495
66	248	3453
67	248	3412
68	249	3369
69	250	3328
70	251	3287
71	252	3248
72	252	3211
73	253	3174
74	254	3139
75	255	3103
76	256	3071
77	258	3050
78	258	3018
79	260	3000
80	261	2969
81	262	2937
82	262	2903
83	263	2877
84	264	2850
85	265	2822
86	266	2795
87	267	2769
88	268	2743
89	268	2717
90	269	2691
91	270	2668
92	271	2643
93	271	2619
94	272	2598
95	273	2577
96	275	2561
97	276	2543
98	277	2526
99	278	2505
100	279	2484
101	279	2464
102	280	2444
103	281	2426
104	282	2408
105	284	2397
106	285	2378
107	285	2361
108	286	2343
109	287	2329
110	289	2314
111	290	2301
112	290	2284
113	291	2267
114	292	2251
115	293	2236
116	293	2218
117	294	2202
118	295	2187
119	296	2171
120	296	2157
121	297	2141
122	298	2126
123	298	2111
124	299	2097
125	300	2083
126	300	2068
127	301	2054
128	302	2041
129	303	2028
130	303	2015
131	304	2003
132	305	1990
133	305	1977
134	306	1965
135	307	1952
136	308	1941
137	309	1931
138	309	1919
139	310	1908
140	311	1898
141	312	1886
142	312	1874
143	313	1863
144	314	1852
145	314	1841
146	315	1830
147	316	1819
148	316	1809
149	317	1799
150	318	1790
151	319	1781
152	320	1771
153	320	1761
154	321	1751
155	322	1743
156	322	1733
157	323	1724
158	324	1715
159	324	1705
160	325	1695
161	326	1686
162	326	1677
163	327	1669
164	328	1660
165	328	1651
166	329	1642
167	330	1634
168	330	1626
169	331	1618
170	332	1610
171	333	1603
172	333	1595
173	334	1587
174	335	1579
175	335	1572
176	336	1565
177	338	1564
178	339	1557
179	340	1550
180	341	1543
181	341	1535
182	342	1528
183	343	1521
184	343	1514
185	344	1507
186	345	1500
187	345	1494
188	347	1489
189	347	1483
190	348	1477
191	349	1471
192	350	1464
193	351	1458
194	352	1453
195	352	1447
196	353	1441
197	354	1435
198	355	1429
199	355	1423
200	356	1416
201	357	1410
202	357	1404
203	358	1399
204	359	1393
205	360	1388
206	360	1382
207	361	1377
208	362	1372
209	363	1367
210	365	1367
211	366	1361
212	367	1357
213	368	1352
214	369	1347
215	369	1341
216	370	1336
217	371	1330
218	371	1325
219	372	1319
220	372	1314
221	373	1309
222	374	1304
223	374	1298
224	375	1293
225	376	1290
226	377	1286
227	378	1281
228	379	1276
229	379	1271
230	380	1266
231	381	1262
232	382	1258
233	382	1253
234	383	1248
235	384	1243
236	384	1238
237	385	1233
238	385	1228
239	386	1224
240	387	1219
241	387	1214
242	388	1210
243	389	1206
244	389	1201
245	390	1197
246	391	1193
247	392	1189
248	393	1186
249	394	1182
250	395	1178
251	395	1174
252	396	1170
253	397	1167
254	398	1163
255	398	1158
256	399	1154
257	400	1150
258	400	1146
259	401	1142
260	402	1138
261	402	1134
262	403	1130
263	404	1126
264	404	1122
265	405	1118
266	406	1116
267	408	1116
268	409	1112
269	409	1108
270	410	1104
271	411	1100
272	411	1096
273	412	1093
274	413	1089
275	413	1085
276	414	1082
277	415	1078
278	415	1075
279	416	1071
280	417	1067
281	417	1064
282	418	1060
283	419	1056
284	419	1053
285	420	1050
286	421	1046
287	422	1043
288	422	1040
289	423	1037
290	424	1034
291	425	1031
292	426	1028
293	426	1024
294	427	1021
295	428	1018
296	428	1014
297	429	1011
298	430	1008
299	430	1004
300	431	1001
301	432	998
302	432	995
303	433	992
304	434	989
305	435	986
306	436	984
307	437	981
308	437	978
309	438	975
310	439	972
311	439	969
312	440	966
313	441	963
314	441	960
315	442	957
316	443	954
317	443	951
318	444	948
319	444	945
320	445	942
321	446	939
322	446	936
323	447	933
324	448	931
325	448	928
326	449	925
327	450	923
328	451	921
329	452	919
330	453	916
331	454	914
332	454	911
333	455	908
334	456	905
335	456	902
336	457	900
337	458	897
338	458	894
339	459	892
340	460	889
341	460	886
342	461	883
343	462	881
344	463	879
345	464	877
346	465	875
347	466	873
348	466	870
349	467	868
350	468	865
351	468	863
352	469	860
353	470	857
354	470	855
355	471	853
356	472	850
357	472	848
358	473	845
359	474	843
360	474	840
361	475	838
362	476	835
363	477	833
364	477	831
365	478	828
366	479	826
367	480	824
368	480	822
369	481	819
370	482	817
371	483	815
372	483	813
373	484	811
374	485	809
375	486	806
376	486	804
377	487	801
378	487	799
379	488	797
380	489	795
381	490	793
382	491	791
383	492	789
384	492	787
385	493	785
386	494	783
387	495	781
388	496	779
389	496	777
390	497	774
391	498	772
392	498	770
393	499	768
394	500	765
395	500	763
396	501	761
397	501	759
398	502	757
399	503	755
400	504	753
401	504	750
402	505	748
403	506	746
404	506	744
405	507	742
406	507	740
407	508	738
408	509	736
409	510	734
410	510	732
411	511	730
412	512	728
413	512	726
414	513	723
415	514	721
416	514	719
417	515	717
418	516	715
419	516	713
420	518	712
421	519	711
422	519	709
423	520	707
424	521	705
425	521	703
426	522	701
427	523	699
428	524	697
429	525	696
430	525	694
431	526	692
432	527	690
433	527	688
434	528	686
435	529	684
436	529	682
437	530	680
438	531	678
439	531	676
440	532	674
441	533	673
442	533	671
443	534	669
444	535	667
445	535	665
446	536	663
447	536	661
448	537	659
449	538	658
450	539	656
451	540	654
452	540	652
453	541	651
454	542	649
455	542	647
456	543	645
457	544	644
458	544	642
459	546	640
460	546	639
461	547	637
462	548	635
463	548	633
464	549	632
465	550	630
466	550	628
467	551	626
468	551	624
469	552	623
470	553	621
471	554	620
472	555	618
473	556	617
474	556	615
475	557	613
476	558	611
477	558	610
478	559	608
479	560	606
480	560	605
481	561	603
482	562	601
483	562	599
484	563	598
485	564	596
486	564	594
487	565	593
488	566	591
489	566	589
490	567	588
491	568	586
492	568	585
493	569	583
494	570	581
495	571	580
496	571	578
497	572	577
498	574	576
499	574	574
500	575	573
501	576	571
502	576	569
503	577	568
504	577	566
505	578	564
506	579	563
507	579	561
508	580	560
509	581	558
510	581	556
511	582	555
512	583	554
513	584	552
514	585	551
515	586	549
516	586	548
517	587	546
518	588	545
519	588	543
520	589	541
521	590	540
522	590	538
523	591	537
524	592	535
525	592	534
526	593	532
527	594	531
528	594	529
529	595	528
530	596	526
531	596	524
532	597	523
533	598	522
534	599	520
535	601	520
536	601	519
537	602	517
538	603	516
539	603	514
540	604	513
541	605	511
542	606	510
543	606	508
544	607	507
545	608	505
546	608	504
547	609	502
548	610	501
549	610	499
550	611	498
551	612	496
552	613	495
553	614	494
554	615	493
555	616	492
556	616	490
557	617	489
558	618	487
559	618	486
560	619	484
561	620	483
562	620	481
563	621	480
564	622	479
565	622	477
566	623	476
567	624	474
568	625	473
569	625	472
570	626	470
571	627	469
572	628	468
573	629	467
574	630	465
575	630	464
576	631	463
577	632	461
578	633	460
579	633	458
580	634	457
581	635	456
582	635	454
583	636	453
584	637	452
585	638	450
586	638	449
587	639	448
588	640	446
